profileId,title,competencies,hasGrowWithSap,consultants,description
0001386572,Arago,2,0,121,Arago supports companies in their HR & Finance digital transformation
0000167549,cbs Corporate Business Solutions,6,1,308,Innovation & Transformation to NextGen Corporate Business Solutions
0000254928,The Hackett Group,3,1,142,The Hackett Group (A member of United VARs)
0001713855,CCelera s.r.l.,3,0,43,"a consulting company enabling ​
enterprises to unleash their potential"
0001372500,BlueBoot Business Software S.R.L.,1,0,6,"Global, 100% SAP Business Technology Platform Experts"
0001467797,LABS,6,0,98,Your Digital Transformation Partner
0001427457,InfraBeat Technologies Private Limited,3,0,50,"Bringing Together - Technology, Expertise and Innovation"
0000390012,SD Worx SAP Solutions,3,0,290,We Are Digital HR Specialists
0000883130,Yash Technologies Private Limited,5,0,223,Drive tangible business outcomes from digital transformation programs
0001690865,Highbar Technocrat Limited,4,1,36,Highbar Technocrat - your Preferred SAP Technology Partner
0001376814,Stepping Cloud Consulting Private,1,0,14,Dynamic Work Force Management with Cloud-based HCM Suite
0000467405,KPS,5,0,117,Successful SAP projects | KPS Instant Transformation |1200 consultants
0000698634,MQA BUSINESS CONSULTANTS S A,5,0,68,"En MQA humanizamos la tecnología, pensando en el consumidor."
0001378616,AKT Global,2,0,101,Our Business is People. Transform Your Digital Experience Journey.
0001387011,Enterprise Information Resources (EIR),1,0,38,A unique services organization supporting all SuccessFactors modules
0000892944,all4cloud group,3,1,25,"SAP Cloud ERP: understand, advise, realize!"
0000722571,GBM,4,0,114,GBM es líder en servicios de tecnología para Centroamérica y el Caribe
0001708857,tts CS GmbH,1,0,110,The digital HR experts
0001743189,Smart National Solutions,4,0,77,The Fastest Growing Partner in Public Sector In Saudi Arabia in 2020
0001803643,SAR India Digital Pvt Ltd,3,0,19,We make IT happen and help customers succeed in their business
0001857702,SOLEX,4,0,26,SOLEX is differentiated by delivering digital ecosystem to our clients
0001555304,Shanghai Jingtong Information Technology,2,0,107,联景.同心.共赢
0001165555,INTELLECT BIZWARE SERVICES PVT LTD,5,1,133,Intellect is a Global Consulting and Services Company.
0000321714,Ayesa,5,0,576,"Ayesa, a Global Group in Digital Services"
0001588268,HAND Enterprise Solutions Company Ltd.汉得信息,4,1,247,汉得信息·数字化放心交给我，HAND是SAP金牌合作伙伴，为众多企业提供专业的综合性信息化服务
0001351087,Exalogic Consulting FZC,3,0,14,Enabling more value for our customers from SAP Software investments.
0000179726,FUJITSU,5,0,1652,Accelerate Digital & Sustainability Transformation with Fujitsu
0000979331,myBrand Conclusion,5,0,291,Jouw gids naar een Intelligent en Sustainable Enterprise
0001598618,Cognitus,7,1,143,Successful Go-live with Pre-Configured SAP Industry Cloud Solutions
0001740868,"C2S Consulting, LLC",1,0,9,Construyendo el futuro de nuestros clientes
0001900675,Neovatic Technologies Pvt Ltd,3,0,52,A Versatile Provider For All Your Enterprise Technology Needs
0001695221,VIVO Consulting,1,0,35,Acelere la transformación digital de sus procesos de compra
0001261524,TheValueChain NV,6,0,169,Accelerate. Adapt. Act.
0000385224,Bristlecone,4,0,117,"SCM experts focused on Rise with SAP, BTP, Sustainability, Ariba & IBP"
0001603804,IVC Solutions Limited,5,0,101,A global SAP service partner with local expertise.
0000441583,MIBCON,4,0,51,MIBCON is a leading consulting company in Czech Republic and Slovakia
0000651160,"Tesselar Soluciones, S.A. de C.V.",2,0,41,Más de 20 años de experiencia con más de 700 clientes.
0001880503,Altivate,6,0,98,An Award-Winning MENA SAP Gold Partner with 60+ Regional Clients
0002434058,TechnoVal Information Systems Co. Ltd.,3,0,23,Unlock digital transformation with TechnoVal and SAP
0000863415,EXXETA AG,1,0,8,"Digital Transformation through Data, Analytics & Digital Products"
0000989301,HCLTech,7,0,2931,Supercharging Progress
0000492670,Detay Danismanlik Bilgisayar,4,0,62,We create value and transform the future.
0000037959,Engineering Ingegneria Informatica S.p.A.,7,0,402,Leading client’s transformation towards digital ecosystems.
0000025959,FIS Informationssysteme und Consulting GmbH,4,0,284,FIS – Mit Sicherheit die passende Lösung.
0001062344,PASàPAS,6,0,100,Accompagner la transformation et améliorer l’efficience opérationnelle
0001221174,ALTEA UP S.r.l.,5,1,56,Start with us your Journey to the Intelligent Enterprise
0001169783,Edraky LLC,6,0,203,Edraky is a Platinum partner of SAP established in 2010
0001350864,Accely Group,3,0,58,Accely - Global SAP Partner leader in business transformation services
0001805233,MQA AMERICAS,4,0,28,"Humanizamos la Tecnología. 
Transformamos Organizaciones. "
0000205421,Camelot ITLab GmbH,3,0,93,Creating value 4.NOW for our clients
0001820760,Phoenix Consulting and Information,3,0,65,PHOENIX Consulting is the most fast-emerging system integrators
0001625114,Success Solutions s.r.o.,2,0,57,We are SuccessFactors partner
0001557861,s-peers AG,1,0,39,The SAP Analytics Manufactory
0000908688,Sothis,5,1,245,One of the few companies that offers a global technology solution
0000010890,ABS Team GmbH,2,0,42,Ihr SAP HXM-Partner für die digitale Personalwirtschaft
0002673308,Aiden Netherlands B.V.,5,1,127,Technology made human.
0000283699,scc EDV-Beratung AG,4,0,117,A great way to work
0001240075,Discovery Consulting,3,0,70,"The trusted SAP Finance, People and Safety Business Partner"
0001223774,CSTI Corp,5,0,36,"CSTI Corp, soluciones TI a la medida para las empresas inteligentes."
0000404841,Sopra Steria,7,0,368,Your SAP world is how we shape it together
0000037113,msg group,5,0,281,We work with you to create the digital future – globally and locally.
0000010423,UNIORG Consulting GmbH,5,0,64,Beratung mit Leidenschaft. emotional. digital.
0000495974,"BSG Partners Co., Ltd.",3,0,28,BSG - Bridge of enterprise growth through IT
0000766294,ITS Group,1,0,25,Somos a consultoria SAP referência em inovação na América Latina.
0000037555,BTC Business Technology Consulting,4,0,204,"BTC Group - Creating solutions
for a smarter world."
0000669332,Sapphire Systems Inc,3,0,121,Leading SAP provider to mid-market and enterprise businesses
0000851178,OptiSoft,4,0,53,Ofrecemos soluciones de negocio SAP en forma especializada.
0000756299,INVENZIS,2,0,20,Su socio de confianza con mas de 25 años junto a SAP
0000952327,Al-Bilad Arabia Co. Ltd.,1,0,9,Albilad Arabia - Best Partner for SAP Digital Transformation
0000743382,Exprivia S.p.A.,5,0,287,Exprivia è un Gold Partner SAP con presenza internazionale.
0001496858,Solvia Yazilim ve Danismanlik A.S.,5,0,282,Choose a strong team as a companion for your digital transformation 
0001956434,SPRO IT Solutions,2,0,86,Transformando o agronegócio através de tecnologias inteligentes
0002867331,INFLEXION INFOTECH CONSULTANCY L.L.C.,5,1,80,Accelerate business transformation with AI powered solutions !!
0001161040,sovanta AG,2,0,54,"Experience SAP like never before!
Simple. Intelligent. Efficient."
0001521101,Castaliaz Technologies Pvt Ltd,3,1,48,"We run your SAP, while you run your business!"
0001635021,SGN SOFTWARE PRIVATE LIMITED,1,0,12,We are a SAP Gold Partner having our office in Kolkata & Gurgaon.
0001670020,Acloudear 司享网络,5,1,78,"Platinum Partner; Pinnacle
Awards 2020 Winner; United
VARs Member
"
0000752656,Cast group,3,0,61,Maior provedora SAP do Brasil com soluções end-to-end e one-stop-shop
